# FEC Channel Summary | generated by generate_fec_traffic_data.m v2
loss_rate_target,trial,actual_loss_rate,burst_mean_length,delay_mean_ms,delay_std_ms,channel_model_id,p_bg
0.00,1,0.0000,0.0000,2.0092,0.9703,1,0.9900
0.00,2,0.0000,0.0000,1.9913,0.9470,1,0.9900
0.00,3,0.0000,0.0000,2.0248,0.9308,1,0.9900
0.00,4,0.0000,0.0000,2.0657,1.0530,1,0.9900
0.00,5,0.0000,0.0000,1.9796,0.9753,1,0.9900
0.05,1,0.0575,1.0000,1.9805,0.9626,1,0.9900
0.05,2,0.0475,1.0000,2.0117,0.9916,1,0.9900
0.05,3,0.0525,1.0000,2.0164,0.9604,1,0.9900
0.05,4,0.0350,1.0000,2.0354,0.9490,1,0.9900
0.05,5,0.0450,1.0000,2.0196,0.9761,1,0.9900
0.10,1,0.1025,1.0000,1.8363,0.9205,1,0.9900
0.10,2,0.0900,1.0000,1.9119,0.9802,1,0.9900
0.10,3,0.0900,1.0000,1.9094,0.9990,1,0.9900
0.10,4,0.1325,1.0000,1.9878,0.9634,1,0.9900
0.10,5,0.0950,1.0000,2.1530,0.9768,1,0.9900
0.15,1,0.1400,1.0182,1.9630,0.9738,1,0.9900
0.15,2,0.1400,1.0370,2.0413,0.9293,1,0.9900
0.15,3,0.1650,1.0312,2.0059,0.8905,1,0.9900
0.15,4,0.1600,1.0159,2.0987,0.9698,1,0.9900
0.15,5,0.1250,1.0000,2.0164,0.9508,1,0.9900
0.20,1,0.2175,1.0000,1.9544,0.9553,1,0.9900
0.20,2,0.2250,1.0000,2.0057,0.9962,1,0.9900
0.20,3,0.2000,1.0000,1.9170,0.9415,1,0.9900
0.20,4,0.1950,1.0130,1.9303,0.9707,1,0.9900
0.20,5,0.2075,1.0000,1.9030,1.0103,1,0.9900
0.25,1,0.2600,1.0097,1.9937,0.9295,1,0.9900
0.25,2,0.2550,1.0099,1.9880,1.0015,1,0.9900
0.25,3,0.2600,1.0097,2.0050,0.9803,1,0.9900
0.25,4,0.2475,1.0102,1.9542,0.9770,1,0.9900
0.25,5,0.2350,1.0000,1.9570,0.8966,1,0.9900
0.30,1,0.2900,1.0087,2.1006,0.9886,1,0.9900
0.30,2,0.3000,1.0000,2.0146,1.0291,1,0.9900
0.30,3,0.2925,1.0000,1.9975,0.9309,1,0.9900
0.30,4,0.2875,1.0088,1.9615,0.9469,1,0.9900
0.30,5,0.2875,1.0000,2.0998,0.9246,1,0.9900
0.40,1,0.4025,1.0126,2.0207,1.0249,1,0.9900
0.40,2,0.3875,1.0000,1.9969,0.9925,1,0.9900
0.40,3,0.3975,1.0063,1.9857,0.9475,1,0.9900
0.40,4,0.4025,1.0126,1.9787,0.9552,1,0.9900
0.40,5,0.4000,1.0063,2.0372,1.0043,1,0.9900
0.50,1,0.5000,1.0101,2.0521,0.9466,1,0.9900
0.50,2,0.4975,1.0102,2.0549,0.9787,1,0.9900
0.50,3,0.5025,1.0152,2.0181,1.0077,1,0.9900
0.50,4,0.5000,1.0000,2.0300,0.9817,1,0.9900
0.50,5,0.5025,1.0101,2.0331,0.9781,1,0.9900
0.00,1,0.0000,0.0000,2.4416,1.0655,2,0.3000
0.00,2,0.0000,0.0000,2.3761,0.9974,2,0.3000
0.00,3,0.0000,0.0000,2.4451,1.0457,2,0.3000
0.00,4,0.0000,0.0000,2.4199,1.0420,2,0.3000
0.00,5,0.0000,0.0000,2.3773,1.0657,2,0.3000
0.05,1,0.0250,5.0000,2.3534,1.0822,2,0.3000
0.05,2,0.0850,4.8571,2.3993,1.0769,2,0.3000
0.05,3,0.0300,2.4000,2.4909,1.0232,2,0.3000
0.05,4,0.0275,2.7500,2.4460,1.0370,2,0.3000
0.05,5,0.0400,2.6667,2.3638,1.0803,2,0.3000
0.10,1,0.1150,2.7059,2.3788,1.0087,2,0.3000
0.10,2,0.1150,3.5385,2.3430,1.0190,2,0.3000
0.10,3,0.0950,2.3750,2.4488,0.9869,2,0.3000
0.10,4,0.0850,2.0000,2.3680,1.0027,2,0.3000
0.10,5,0.0750,2.5000,2.3483,1.0221,2,0.3000
0.15,1,0.1550,2.5833,2.3400,1.0876,2,0.3000
0.15,2,0.1950,2.3636,2.3870,0.9625,2,0.3000
0.15,3,0.2225,2.6970,2.3489,0.9593,2,0.3000
0.15,4,0.1075,2.1500,2.4567,1.0533,2,0.3000
0.15,5,0.1000,1.8182,2.4464,0.9943,2,0.3000
0.20,1,0.2450,3.1613,2.4080,1.0752,2,0.3000
0.20,2,0.2175,2.2308,2.4450,1.0201,2,0.3000
0.20,3,0.1850,2.6429,2.4214,1.0932,2,0.3000
0.20,4,0.1600,2.2069,2.3402,1.0580,2,0.3000
0.20,5,0.1400,1.9310,2.4895,1.0404,2,0.3000
0.25,1,0.2325,2.3846,2.4170,1.0637,2,0.3000
0.25,2,0.2300,2.4211,2.4506,1.0847,2,0.3000
0.25,3,0.2325,2.4474,2.3917,1.0666,2,0.3000
0.25,4,0.2475,2.5385,2.3616,1.0022,2,0.3000
0.25,5,0.2200,1.8333,2.3895,1.0604,2,0.3000
0.30,1,0.2850,2.4783,2.3893,1.0217,2,0.3000
0.30,2,0.3525,2.8776,2.3756,1.0721,2,0.3000
0.30,3,0.4000,3.1373,2.3083,1.0244,2,0.3000
0.30,4,0.2775,2.4667,2.4128,1.0701,2,0.3000
0.30,5,0.2750,2.3913,2.3249,1.0146,2,0.3000
0.40,1,0.3825,2.5932,2.4495,1.0439,2,0.3000
0.40,2,0.4025,2.4030,2.3630,1.0162,2,0.3000
0.40,3,0.3275,2.2982,2.3821,1.0261,2,0.3000
0.40,4,0.4075,2.9636,2.4031,1.0315,2,0.3000
0.40,5,0.4400,2.7077,2.4609,1.0406,2,0.3000
0.50,1,0.5575,2.9342,2.4335,1.1031,2,0.3000
0.50,2,0.5075,2.6026,2.4309,1.0622,2,0.3000
0.50,3,0.5425,2.5529,2.4068,1.0348,2,0.3000
0.50,4,0.4925,2.6986,2.3859,1.0487,2,0.3000
0.50,5,0.4150,2.4058,2.3792,1.0132,2,0.3000
